latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.39704,-92.0413,347.1,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,294.1,5.9,N
19.3936,-92.04195,338.5,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,293.6,5.9,N
19.36732,-92.00537,334.8,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,293.7,4.4,N
19.29625,-92.16459,327.6,0.42,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.1,3.5,N
19.29348,-92.16918,326.5,0.42,0.37,2019-10-12,0754,N,nominal,1.0NRT,294,3.8,N
19.24036,-92.2521,314.3,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.1,1.2,N
18.56981,-88.7047,313.1,0.42,0.45,2019-10-12,0754,N,nominal,1.0NRT,289.8,1.3,N
18.56803,-88.70385,314.6,0.42,0.45,2019-10-12,0754,N,nominal,1.0NRT,290.1,1.5,N
18.6459,-92.16982,331.9,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,293,4.5,N
18.64245,-92.17046,334.4,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,293.4,5,N
18.64312,-92.17443,319.1,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,292.2,5,N
18.96803,-97.96044,308.9,0.48,0.4,2019-10-12,0754,N,nominal,1.0NRT,285.1,1,N
18.14214,-92.82773,320.1,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.3,1.2,N
18.21836,-93.89296,320.7,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.4,1.8,N
18.20604,-94.00739,309.3,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,291.7,0.5,N
18.20273,-94.00797,331.1,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,293.7,9.3,N
17.89645,-92.48885,330.5,0.42,0.37,2019-10-12,0754,N,nominal,1.0NRT,292.8,9.1,N
17.89301,-92.48949,311.7,0.42,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.8,1.5,N
17.87864,-92.48811,318.7,0.42,0.38,2019-10-12,0754,N,nominal,1.0NRT,291.3,1,N
18.13196,-94.20268,318.8,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.9,1.4,N
18.09325,-94.04542,327.7,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,293.2,1.6,N
18.10869,-94.39578,335.2,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,293.4,4.8,N
18.1007,-94.34515,326.9,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,293.7,2,N
18.03044,-93.92492,313,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,291.8,1,N
17.9029,-93.18081,308.2,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.9,0.9,N
17.90016,-93.18517,330.9,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.2,14.7,N
17.89954,-93.18142,340.4,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,292.2,14.7,N
17.89344,-93.18638,330.1,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,292.4,5.5,N
17.89158,-93.17513,325.6,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,291.9,4.6,N
17.89282,-93.18263,311.7,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.5,5.5,N
17.8922,-93.17888,314.3,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.4,4.6,N
17.89131,-93.1945,330.9,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,292.3,6.9,N
17.91459,-93.37849,315.8,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.7,0.9,N
17.79312,-92.68723,325.6,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.4,2.1,N
17.85749,-93.11549,310.7,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.9,0.9,N
17.91025,-93.52023,330.4,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,291.6,2.5,N
17.84402,-93.11794,336.7,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,295.4,16.4,N
17.84464,-93.1217,319.5,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.5,4.6,N
17.8434,-93.11417,317.2,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.3,16.4,N
17.84128,-93.12231,338.6,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,291.4,7.9,N
17.84065,-93.11855,352.9,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,293,13.7,N
17.83729,-93.11916,316.3,0.4,0.37,2019-10-12,0754,N,nominal,1.0NRT,290.2,13.7,N
17.97956,-94.11648,329.7,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.2,1.4,N
17.92248,-93.75951,312,0.39,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.4,0.7,N
17.98965,-94.52362,322.7,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.7,1.1,N
17.98361,-94.52837,311.4,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.7,1.8,N
17.94534,-94.28625,315.2,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.6,1,N
17.97643,-94.5259,310.1,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,293.4,1.2,N
17.97199,-94.51924,335.9,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,294.1,1.5,N
17.97142,-94.51564,307.6,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.9,1.5,N
17.96869,-94.51982,306.5,0.38,0.36,2019-10-12,0754,N,nominal,1.0NRT,292.4,1.5,N
40.47005,-75.89246,298.1,0.37,0.58,2019-10-12,0748,N,nominal,1.0NRT,282.1,0.8,N
40.8922,-77.70938,297.7,0.59,0.53,2019-10-12,0748,N,nominal,1.0NRT,266.3,1.2,N
40.88986,-77.7095,295.4,0.59,0.53,2019-10-12,0748,N,nominal,1.0NRT,267.3,1.4,N
39.96312,-76.59372,302,0.36,0.57,2019-10-12,0748,N,nominal,1.0NRT,278.7,0.4,N
39.58773,-75.63377,298.3,0.41,0.6,2019-10-12,0748,N,nominal,1.0NRT,283.9,1.5,N
41.56527,-84.04201,297.6,0.45,0.39,2019-10-12,0748,N,nominal,1.0NRT,275.7,1.4,N
41.36808,-84.91602,302,0.43,0.38,2019-10-12,0748,N,nominal,1.0NRT,276.5,1.2,N
41.3656,-84.92216,321.7,0.43,0.38,2019-10-12,0748,N,nominal,1.0NRT,278.2,2.7,N
41.64282,-87.13984,338.4,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,277.8,3.9,N
41.63953,-87.14081,326.5,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.7,3.9,N
41.63802,-87.13161,321.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.7,1.7,N
41.68299,-87.4238,322.5,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,278,1.3,N
41.63668,-87.13907,326.2,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,279.9,3.1,N
41.68225,-87.41921,297.2,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.5,1.3,N
41.63744,-87.14367,303.4,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,273.9,4,N
41.63593,-87.13447,315.8,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.9,3.1,N
41.63517,-87.12987,310,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.3,1.2,N
41.67897,-87.42016,300.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,277.5,1.3,N
41.67823,-87.41557,299.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276,1.1,N
41.67717,-87.43028,309.2,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.8,1.3,N
41.62683,-87.14196,327.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,279.3,1.7,N
41.67389,-87.43122,303.3,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.8,1.3,N
41.67061,-87.43217,299.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,273.6,1.6,N
41.62355,-87.14292,295.5,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.1,0.5,N
41.66257,-87.42489,300.4,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274,1.7,N
41.63918,-87.40765,298,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.7,0.9,N
41.61669,-87.33256,324.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.3,2.6,N
41.61595,-87.32797,318.4,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,277,3,N
41.61266,-87.32892,330.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.7,4.5,N
42.3382,-96.37708,302.4,0.48,0.48,2019-10-12,0748,N,nominal,1.0NRT,272.1,1.9,N
42.33374,-96.37775,318.5,0.48,0.48,2019-10-12,0748,N,nominal,1.0NRT,273.4,1.9,N
42.33602,-96.37914,333.9,0.48,0.48,2019-10-12,0748,N,nominal,1.0NRT,274.3,3.3,N
41.18056,-87.85864,306.1,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.6,1.5,N
41.17984,-87.8541,317.8,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.3,1.5,N
41.48341,-90.82448,299.8,0.42,0.38,2019-10-12,0748,N,nominal,1.0NRT,275.8,1.1,N
41.46153,-90.68617,303,0.41,0.37,2019-10-12,0748,N,nominal,1.0NRT,276.7,0.7,N
40.92606,-87.34355,311.5,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.9,0.9,N
40.73284,-86.43537,304.4,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,274.6,1.1,N
40.93012,-88.65359,312.2,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,273,1,N
40.64305,-89.64183,321.7,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,278.3,1.7,N
40.63973,-89.64266,317.5,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.2,1.7,N
40.63507,-89.63428,303.8,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,277.3,0.7,N
39.97254,-86.83213,305.4,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,277,1.2,N
