0,1,2,3
488,34.34219,-118.53761000000002,1.7758896903235053
489,34.34156,-118.53286999999999,2.0195000298349557
490,34.34093,-118.52815,2.3575610862502057
491,34.340309999999995,-118.52351999999999,2.7480661212029633
493,34.3387,-118.53813999999998,1.410834016319044
494,34.33807,-118.53341,1.704249480856374
495,34.33744,-118.52871,2.0898611776141194
496,34.33683,-118.52415,2.513338564419248
497,34.33623,-118.51964,2.959482532893785
499,34.33582,-118.54326999999999,0.8890074472688505
500,34.33521,-118.53866000000001,1.065713884538425
501,34.334579999999995,-118.53397,1.4256363117219606
502,34.33395,-118.52928999999999,1.8646896574510015
503,34.33335,-118.5248,2.319508280326095
504,34.33232,-118.54373999999999,0.4995000000004921
505,34.33171,-118.53916000000001,0.7679860504583961
507,34.33294,-118.54839,0.6650345251935341
508,34.33109,-118.53452,1.2127912015265934
509,34.33047,-118.52988,1.7005667323860696
511,34.32882,-118.54426000000001,0.12260350729006443
512,34.32821,-118.5397,0.5887616207776148
513,34.32761,-118.53511999999999,1.0975340753263108
514,34.3264,-118.5261,2.1054040396088176
515,34.32581,-118.52168999999999,2.598804197358016
517,34.325340000000004,-118.54486000000001,0.2956686645552363
518,34.324729999999995,-118.5403,0.6355455222882014
519,34.32413,-118.53576000000001,1.1119657344084868
520,34.32352,-118.53125,1.6052185087709026
521,34.32293,-118.52678999999999,2.0981906941470174
522,34.320640000000004,-118.53638000000001,1.258144726968374
523,34.32005,-118.5319,1.7009188142010065
524,34.319590000000005,-118.55524,1.4708471741477915
525,34.31718,-118.53707,1.489044624348448
528,34.31269,-118.55698000000001,2.157848279305629
1012,34.33931,-118.52456000000001,2.5930077542682475
1013,34.34194,-118.52955,2.309829989003483
1595,34.327290000000005,-118.54025,0.5331074737800292
